# Wohnung Kauf from immoscout24.de on 2019-06-18-14-05
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
111715067,Wohnung,111715067,Kauf,"Bahrenfelder Steindamm 55, Bahrenfeld, Hamburg",true,true,Hamburg,true,001.382429,false,53.56069,90,9.92549,3.5,22761,498000,false,Bahrenfeld,Sonnige Dachgeschosswohnung mit großem Süd-West-Balkon in Hamburg-Bahrenfeld/Ottensen,https://www.immobilienscout24.de/expose/111715067
111676378,Wohnung,111676378,Kauf,"Bahrenfeld, Hamburg",true,false,Hamburg,false,001.463597,false,,97,,3,22761,675000,false,Bahrenfeld,~ Ihr Penthouse über Hamburg ~,https://www.immobilienscout24.de/expose/111676378
111783073,Wohnung,111783073,Kauf,"Farmsen-Berne, Hamburg",true,true,Hamburg,false,001.5849076,false,,65.85,,3,22159,328000,false,Farmsen-Berne,Neuwertige Eigentumswohnung mit großer Dachterrasse und Tiefgaragenstellplatz,https://www.immobilienscout24.de/expose/111783073
111784396,Wohnung,111784396,Kauf,"Stellingen, Hamburg",true,true,Hamburg,true,001.15265548,false,,116.5,,4.5,22527,679800,false,Stellingen,Sonnige Garten-Wohnung nahe Eimsbüttel,https://www.immobilienscout24.de/expose/111784396
107554267,Wohnung,107554267,Kauf,"Winterlindenweg 2, Winterhude, Hamburg",true,false,Hamburg,true,002.01007344502,false,53.6051,146,10.02924,5,22297,890000,false,Winterhude,Das Haus im Haus - 5 mit Balkon und Terrasse nach Westen und eigenen Zugang,https://www.immobilienscout24.de/expose/107554267
111736271,Wohnung,111736271,Kauf,"Winterlindenweg 1, Barmbek-Nord, Hamburg",false,false,Hamburg,true,001.177210,false,53.60565,85.5,10.0295,3,22297,620000,false,Barmbek-Nord,3 Zimmer Endetage mit Balkon zum grünen Innenhof,https://www.immobilienscout24.de/expose/111736271
106071304,Wohnung,106071304,Kauf,"Weidengrasweg 1, Neugraben-Fischbek, Hamburg",true,false,Hamburg,true,001.15347,false,53.47539,65,9.84622,2,21147,299900,false,Neugraben-Fischbek,Charmante 2-Zimmer-Eigentumswohnung in Hamburg,https://www.immobilienscout24.de/expose/106071304
109389251,Wohnung,109389251,Kauf,"Hummelsbüttel, Hamburg",true,false,Hamburg,false,002.01007987110,false,,119.25,,3.5,22339,509700,false,Hummelsbüttel,"3,5-Zimmer-Wohnung
Grünlage in bester Süd/West Ausrichtung",https://www.immobilienscout24.de/expose/109389251
111825055,Wohnung,111825055,Kauf,"Rotherbaum, Hamburg",true,true,Hamburg,true,001.339518,false,,110,,3,20148,1400000,false,Rotherbaum,Hochwertig möblierte Designer-Wohnung in gefragter Lage,https://www.immobilienscout24.de/expose/111825055
99312664,Wohnung,99312664,Kauf,"Schleswiger Damm 260 a-b, Schnelsen, Hamburg",true,false,Hamburg,true,001.15347,false,53.64723,120,9.91099,4,22457,559950,false,Schnelsen,Tolle 4-Zimmer-Eigentumswohnung mit riesiger Dachterrasse,https://www.immobilienscout24.de/expose/99312664
112049363,Wohnung,112049363,Kauf,"Bahrenfeld, Hamburg",true,false,Hamburg,false,001.463597,false,,97,,3,22761,675000,false,Bahrenfeld,~ Ihr Penthouse über Hamburg ~,https://www.immobilienscout24.de/expose/112049363
111656788,Wohnung,111656788,Kauf,"Eimsbüttel, Hamburg",true,false,Hamburg,true,001.1213179,false,,51,,2,22525,289000,false,Eimsbüttel,Geschmackvoll sanierte 2-Zimmer-Wohnung mit großem Balkon!,https://www.immobilienscout24.de/expose/111656788
111978605,Wohnung,111978605,Kauf,"Stellingen, Hamburg",true,true,Hamburg,true,001.177104,false,,86.93,,3,20257,449000,false,Stellingen,Solide Wohnung mit perfekter Raumaufteilung. Großer Sonnenbalkon. Tiefgarage. Guter Zustand.,https://www.immobilienscout24.de/expose/111978605
108013005,Wohnung,108013005,Kauf,"Groß Flottbek, Hamburg",false,false,Hamburg,false,001.12807691,false,,184.93,,4,22607,1895000,false,Groß Flottbek,Vom Feinsten.,https://www.immobilienscout24.de/expose/108013005
108012999,Wohnung,108012999,Kauf,"Groß Flottbek, Hamburg",false,false,Hamburg,false,001.12807691,false,,110.78,,4,22607,995000,false,Groß Flottbek,Starke Einziehungskraft.,https://www.immobilienscout24.de/expose/108012999
100688945,Wohnung,100688945,Kauf,"Behringstraße 150, Bahrenfeld, Hamburg",false,true,Hamburg,false,002.01007899619,false,53.55955,25.45,9.90049,1,22763,148705,false,Bahrenfeld,TOP ANLAGEMÖGLICHKEIT in Hamburg! Comfortapartment L mit hochwertiger Ausstattung,https://www.immobilienscout24.de/expose/100688945
111129809,Wohnung,111129809,Kauf,"Rahlstedt, Hamburg",true,true,Hamburg,false,001.4183753,false,,61.06,,2,22145,220000,false,Rahlstedt,Top-Kapitalanlage! Vermietete 2-Zimmer-ETW mit PKW-Außenstellplatz.,https://www.immobilienscout24.de/expose/111129809
111871847,Wohnung,111871847,Kauf,"Müllenhoffweg 67B, Groß Flottbek, Hamburg",true,false,Hamburg,true,001.2553179,false,53.5609,109.85,9.87036,3,22607,1095000,false,Groß Flottbek,Penthouse im Grünen mit großer Terrasse,https://www.immobilienscout24.de/expose/111871847
111871546,Wohnung,111871546,Kauf,"Winterhude, Hamburg",true,true,Hamburg,true,001.339518,true,,292,,5,22301,2950000,false,Winterhude,Eigentumswohnung mit Terrasse und direktem Zugang zum Rondeeltteich,https://www.immobilienscout24.de/expose/111871546
111193679,Wohnung,111193679,Kauf,"HafenCity, Hamburg",false,false,Hamburg,true,001.2735650,false,,193,,4,20457,3090000,false,HafenCity,Ihr neuer Heimathafen im STRANDHAUS by Richard Meier,https://www.immobilienscout24.de/expose/111193679
110872406,Wohnung,110872406,Kauf,"Harvestehude, Hamburg",true,true,Hamburg,false,001.5767208,true,,537,,11,20149,9950000,false,Harvestehude,Einzigartige Maisonette-Wohnung mit Garten direkt an der Alster!,https://www.immobilienscout24.de/expose/110872406
111655418,Wohnung,111655418,Kauf,"Papenkamp 33, Groß Flottbek, Hamburg",true,false,Hamburg,true,001.10712777,true,53.5592,121.49,9.86726,4,22607,998000,false,Groß Flottbek,*** NEU - In 10 Minuten zu Fuss an der Elbe - Exklusive Neubauwohnung mit Fahrstuhl und TG  ***,https://www.immobilienscout24.de/expose/111655418
111912080,Wohnung,111912080,Kauf,"Eidelstedt, Hamburg",false,true,Hamburg,true,002.01002875509,false,,58,,3,22523,215000,false,Eidelstedt,3-Zimmer Wohnung in zentraler Lage in Hamburg-Eidelstedt,https://www.immobilienscout24.de/expose/111912080
111975009,Wohnung,111975009,Kauf,"Harvestehude, Hamburg",true,false,Hamburg,true,001.5554422,false,,165,,3,20149,2100000,false,Harvestehude,Moderne Maisonette in Toplage!,https://www.immobilienscout24.de/expose/111975009
110647711,Wohnung,110647711,Kauf,"Barmbek-Süd, Hamburg",true,true,Hamburg,false,001.15530558,false,,105,,3,22083,799000,false,Barmbek-Süd,Moderne Eigentumswohnung im beliebten Komponistenviertel- HH- Barmbek,https://www.immobilienscout24.de/expose/110647711
110483174,Wohnung,110483174,Kauf,"Eppendorf, Hamburg",false,false,Hamburg,false,001.15530558,false,,228,,5,20249,2295000,false,Eppendorf,Hochparterre-Maisonette in schöner Lage im Eppendorfer Villenviertel - HH- Eppendorf,https://www.immobilienscout24.de/expose/110483174
109528280,Wohnung,109528280,Kauf,"Hummelsbüttel, Hamburg",true,false,Hamburg,false,002.01007987110,false,,75.41,,3,22339,255300,false,Hummelsbüttel,Solide Kapitalanlage in moderner Wohnanlage,https://www.immobilienscout24.de/expose/109528280
109528263,Wohnung,109528263,Kauf,"Hummelsbüttel, Hamburg",true,false,Hamburg,true,002.01007987110,false,,79.03,,3,22339,250500,false,Hummelsbüttel,Zuverlässige Mieter - 3-Zimmer-Wohnung im Hochparterre,https://www.immobilienscout24.de/expose/109528263
110183666,Wohnung,110183666,Kauf,"Niendorf, Hamburg",true,false,Hamburg,false,001.15859048,false,,93.94,,3,22459,495000,false,Niendorf,NIENGÄRTEN - Leben im Herzen von Niendorf - Neubauwohnung 1. Obergeschoss,https://www.immobilienscout24.de/expose/110183666
111038080,Wohnung,111038080,Kauf,"Hamb.-Altstadt, Hamburg",false,false,Hamburg,true,001.15279698,false,,139.9,,4,20095,1275000,false,Hamb.-Altstadt,"GRENZENLOS GUT - HH-City - 4 Zimmer, 140 m² Wfl.",https://www.immobilienscout24.de/expose/111038080
111762844,Wohnung,111762844,Kauf,"Eidelstedt, Hamburg",false,false,Hamburg,true,001.466425,false,,137,,5,22527,599000,false,Eidelstedt,Exponiertes Wohnen auf großzügigen 166m² direkt am Niendorfer-Gehege!,https://www.immobilienscout24.de/expose/111762844
111292580,Wohnung,111292580,Kauf,"Lokstedt, Hamburg",true,false,Hamburg,true,001.130272,false,,79.12,,2,22529,365000,false,Lokstedt,NEU +++ Zentrale Lage nahe UKE  trifft auf ruhige Lage im Zylinderviertel+++,https://www.immobilienscout24.de/expose/111292580
111512780,Wohnung,111512780,Kauf,"Uhlenhorst, Hamburg",true,true,Hamburg,false,009.2c754d22-4646-46ab-a6d9-cd3f0aef18e7,false,,81.96,,2,22085,1200000,false,Uhlenhorst,"Traumhaftes Loft über Uhlenhorst. Mit Dachterrasse, Tiefgarage. Und tollem Blick ins Grüne.",https://www.immobilienscout24.de/expose/111512780
